generation,best_fitness,mean_fitness,best_agent,duration,total duration,all_fitness
1,-101,-503,7,79.39285397529602,79.39285397529602,"[-651.29308922047, -477.1690574586926, -408.01461295747305, -702.7974606412031, -494.1757641600491, -138.82787473734095, -453.06421067015935, -101.61735059277677, -452.57800954669597, -1284.6395803279197, -179.53696763132731, -304.54779030827024, -438.08084770209086, -328.09685025639214, -980.6917628691867, -736.3664350094483, -559.0914657485074, -334.74255255034217, -346.43157461227827, -693.5908756917008]"
2,16,-313,1,118.78217220306396,198.17502617835999,"[-150.02933905560104, 16.173811772351087, -1085.930418897532, -139.44717900131184, -534.3394514449249, -596.1542777310291, -1015.8805477104651, -158.53903611426165, -137.7802047132122, -195.6526988327718, -122.02649976207735, -137.24957931836127, -168.1412097682914, -312.82762041171463, -110.91155763560184, -161.56832184739437, -18.80539514175757, -130.255234225158, -386.63500212672454, -729.9327620727543]"
3,29,-120,0,59.948586225509644,258.12361240386963,"[29.760904605895604, -102.94852891380668, -89.56151821937303, -158.47204877009392, 6.607434114372467, -126.36762557361621, -149.43192317479372, -198.94161207105353, -125.9434683225432, -113.94818459960649, -133.7887041537532, -132.35507020094465, -119.6612933978688, -187.19411421858553, -112.0194967083066, -151.09266163373397, -157.17209521237544, -129.03766168468954, -117.04328149314995, -142.12619697429193]"
4,20,-125,15,65.26554226875305,323.3891546726227,"[-146.17844497270698, -116.90499759773871, -121.91808805030487, -123.42335733060452, -135.55422956987587, -132.00584019232653, -133.10333277345325, -108.68376923128531, -136.34569272714157, -167.00255438307943, -95.40396425241565, -139.06043225689297, -117.2337185939596, -139.7456565401537, -159.38218508522527, 20.356355961688607, -143.1648586854143, -112.76758946492117, -164.69875122616742, -145.0708292929654]"
5,15,-185,3,83.07612490653992,406.4652795791626,"[-134.14944090106152, -1437.1145629449816, 7.358015287731462, 15.327949744557756, -209.6078526320769, -110.42212655034231, -159.83822810508087, -101.8397149199755, -122.55888257107978, -156.2031654306974, -173.89029126274505, -160.94337089546977, -106.89531077456752, -149.01509496097685, -119.19306074563778, -132.41344023030123, -117.58536805816215, -123.78772074291902, -111.82373476982778, -100.11662693766127]"
6,-112,-146,15,56.872302293777466,463.33758187294006,"[-153.43439809670514, -130.13553160684313, -141.8880838081804, -135.69508582715693, -157.06421158194752, -117.13582992598288, -143.25680327001254, -124.34214890023182, -113.5361320732496, -120.65855869275245, -135.35900084812283, -142.05914373316284, -157.563011173253, -347.499336824035, -125.7228300552523, -112.52028171854425, -162.97345331195578, -117.89022790523757, -174.6460849010689, -121.96282477270321]"
7,11,-154,11,61.988706827163696,525.3262887001038,"[-173.42133973603708, -89.30038908957812, -137.68011742682873, -124.56666554888491, -602.6997708838234, -169.1412573003588, -127.35835239613627, -106.82867658080824, -162.60570630632944, -116.26579910827252, -134.04094708898592, 11.732142620128442, -185.28216113606211, -91.9885235748626, -89.40259203176086, -138.03352368207732, -166.8528754044995, -286.04532174436713, -93.95035011283156, -114.58435996480662]"
8,-84,-143,16,63.02872085571289,588.3550095558167,"[-143.2080331573396, -153.55610504838197, -130.62070802075198, -174.91990596847552, -140.64895290219985, -159.81112896889505, -105.1252216092102, -191.94611609687948, -144.363150889844, -154.343880677819, -121.44542375988996, -153.79914112196866, -117.26320267672779, -200.69332522615377, -140.41135565670547, -139.16567462055855, -84.46597700866658, -180.1907368887731, -105.60822285243643, -120.10972156844338]"
9,-64,-152,1,59.68602132797241,648.0410308837891,"[-106.8929620193224, -64.45184144907941, -136.61886960636474, -119.46853975943674, -169.2373198313701, -119.88470951680318, -150.6628957126548, -524.813359859223, -139.47585727675627, -124.52642911431766, -143.3847594058151, -134.98844987909018, -157.86077192713276, -173.01436725309148, -132.08547884866329, -135.0256444348053, -123.50162690985547, -125.60777251587771, -124.15837624840114, -136.03467124279697]"
10,-13,-126,19,65.21004986763,713.2510807514191,"[-156.67639585026942, -174.93520969585683, -95.71250788605013, -124.81165471789774, -115.9117640206191, -137.6667237053143, -115.36502675715514, -127.11481990381992, -116.70105440042872, -108.17824545439422, -138.06327080031144, -120.18264378904809, -132.61572117638357, -152.61556100731053, -174.05436819592103, -115.70423469172542, -171.75316791215533, -138.58731874755918, -105.61037723371615, -13.72244606526101]"
11,-83,-141,12,57.21093463897705,770.4620153903961,"[-130.55724399362435, -444.69630078667024, -175.67421108723568, -167.19077721991755, -131.89377327614847, -147.48175407029464, -99.53696199515852, -113.4604721820941, -130.64643544547525, -106.81814768586057, -133.9892450918487, -96.82614917983969, -83.8698567202396, -96.33447202630097, -171.44238194761414, -120.39273134866363, -126.28614551369014, -89.06774898656127, -127.84681073846872, -133.5765082586586]"
12,-85,-130,16,60.967859506607056,831.4298748970032,"[-109.3862493963864, -165.43764923062434, -103.73104619107855, -105.69533750793678, -131.54077287153638, -140.37941990210217, -131.66559115513834, -113.80819736047033, -182.35881345375452, -114.91015300456249, -148.72242539899105, -104.19401579796846, -173.860658599761, -129.9670022561857, -117.44168655998047, -130.47789246103702, -85.97843321557204, -120.10321122998215, -144.30448207681306, -154.05824090163478]"
13,-43,-161,18,64.75892734527588,896.188802242279,"[-121.30726131878785, -133.12155902919676, -145.76719935409423, -134.5185993974354, -104.58661330844853, -139.15471835294608, -153.48816823074043, -120.50555087177321, -193.9397941879891, -161.16141753018493, -195.02262270650357, -94.34977256150748, -752.4439881242631, -129.02445157551026, -103.33935047684056, -94.46345257097437, -171.16485648058102, -112.66683200101079, -43.39586259773586, -129.16502919272182]"
14,27,-187,12,59.753870487213135,955.9426727294922,"[-118.05772948588273, -110.96899078029466, -618.2633063949692, -94.15390555163287, -114.43445645219538, -102.35016587503213, -153.2607165596416, -558.2981227454904, -194.17391338055035, -94.53369901337601, -125.93871475999507, -619.8168478051407, 27.23150657488162, -113.1080643442362, -112.58166235823668, -139.38847263898265, -123.49428284591244, -127.35615891900167, -129.98727331025003, -125.9984626079893]"
15,-5,-136,16,62.58977174758911,1018.5324444770813,"[-121.70956892250211, -352.6738651412056, -132.81971227982834, -114.70318581923593, -143.8716687488997, -132.33051997035005, -148.03361644414454, -184.7932643157232, -133.57080021027244, -136.5663997881456, -144.76568315517517, -129.62975588652938, -122.8958632437419, -27.87097981892137, -147.88237927726092, -166.75996689173874, -5.0016472832896, -112.26991124046086, -161.2705536225071, -112.96684273136617]"
16,-51,-172,9,61.19411778450012,1079.7265622615814,"[-119.80580493510803, -139.76246117967023, -150.7757671641615, -164.72718759542232, -154.52593721266115, -161.36907296798705, -152.08705193086078, -119.69127198235887, -151.8358331002815, -51.00039260584404, -188.90947592206626, -141.5196017306254, -142.26793713279926, -384.66634212050826, -612.3230471017839, -112.66452620979618, -107.99975187889402, -147.94380635907265, -152.6443780074992, -95.52098566775751]"
17,32,-178,19,68.22359299659729,1147.9501552581787,"[-135.7845044140015, -150.5691334973177, -98.13796492918641, -72.00955027023355, -164.34861263843638, -132.86468734988344, -138.88188262688095, -136.83589864636386, -136.20450216285948, -674.7680629294571, -102.0720564840345, -765.6744333263065, -112.55648751345512, -142.12993648308668, -58.800935465637934, -180.31905566652154, -168.01990916839415, -94.90526515233512, -127.8750620396898, 32.69681898231249]"
18,-99,-160,17,61.70856833457947,1209.6587235927582,"[-111.66591967365008, -121.25129396640895, -130.13960896654697, -139.04702444254343, -123.03815374085235, -161.11732552958063, -152.11291977249675, -159.49688389797916, -112.96675281038662, -156.8109212671905, -557.1823293518391, -123.237953617107, -194.20538317720576, -171.37554895169507, -145.69897509457604, -120.60686588466737, -106.24602978882368, -99.64943164119114, -141.6601732229638, -176.7565451548278]"
19,-94,-164,4,72.77260136604309,1282.4313249588013,"[-117.76938747791672, -140.13067745754307, -139.6112778990386, -119.55513664401332, -94.44870377921535, -108.38416719012577, -845.4770835417478, -119.93328240166446, -135.5940646785376, -112.49284175975487, -140.54140908027773, -146.08127257050322, -118.71346354726904, -159.1331147680372, -129.0942146718486, -137.50673112834176, -116.62423681009821, -144.65073233613694, -116.80810124273549, -152.4510888978961]"
20,-66,-329,12,75.754567861557,1358.1858928203583,"[-135.70735059474882, -137.50805403894083, -133.9849534327933, -2898.476677334083, -148.4217225349447, -185.05199834091115, -121.68196186741687, -506.4077315588637, -126.53247708554886, -112.40551577582212, -648.6156144731941, -134.529493058291, -66.16031733607136, -144.39650230196844, -433.21762311106824, -80.9188564050095, -127.12225405787305, -124.62741735789203, -138.99232764428749, -175.3164781923703]"
21,-32,-213,4,70.62078475952148,1428.8066775798798,"[-150.8420193933076, -393.6524353682619, -101.38478782501716, -111.04765543745572, -32.42883685863126, -128.02563256430557, -369.5857311837886, -144.4921605699534, -135.28262639068788, -476.83081310209934, -139.7843156337686, -701.8716218386686, -175.45688484372636, -122.75403978232032, -460.39647976140895, -152.4045617451018, -121.62535411529069, -124.72045556810241, -120.31133662913444, -99.1373263305648]"
22,9,-127,8,70.08162117004395,1498.8882987499237,"[-113.19781687317888, -126.03901268155789, -93.36701076659824, -152.1901406212671, -106.25576209826824, -118.8178281055425, -329.01007249665787, -145.20621064765407, 9.392363542148729, -108.4751790631291, -117.7644636799491, -144.0958935151309, -109.65297090083723, -98.5562607472034, -121.0515350078721, -128.7383654003976, -148.5359295799895, -146.1358140009775, -104.32986485889623, -145.70906123210497]"
23,34,-201,16,64.15605878829956,1563.0443575382233,"[-115.46512863866911, -1095.3399465669283, -119.59857879155624, -169.29612870853632, -141.6820487896428, -159.27347744462838, -487.5313055677516, -152.2496897314851, -156.56259238370686, -118.4164726939857, -93.28367046559666, -117.76464599837465, -119.61109085530674, -130.18734071893127, -461.3962488599099, -144.02521681547353, 34.38068923524065, -91.79220015140808, -113.31529124040023, -85.75378617619177]"
24,-19,-131,11,69.73256206512451,1632.7769196033478,"[-151.77661567154047, -125.69500746387689, -93.86968422070973, -149.26381449204314, -149.51246830507958, -148.26365939529163, -189.85038353933044, -133.01888203706613, -127.8053261871141, -160.63878477091714, -137.63331005340632, -19.571185687894143, -113.09870524542322, -160.3854774555498, -130.93601905175748, -127.08184991275485, -113.87363239893065, -138.91272599770244, -134.0762095962735, -122.9724696700361]"
25,-79,-134,12,66.55354928970337,1699.3304688930511,"[-135.6357255165858, -138.0056474297649, -119.93779828904982, -111.87325212568348, -191.547795833434, -116.56240960227674, -146.49722478191546, -117.47754465687709, -99.09843329233863, -149.81627251617553, -203.27462227614308, -132.41968804329014, -79.94785320526236, -116.27022331306233, -195.29843824473522, -125.63390190909865, -134.03474696552527, -160.97339005948032, -85.30489392378706, -134.227620962743]"
26,-3,-155,2,68.47906374931335,1767.8095326423645,"[-146.60280126885735, -120.8725282072646, -3.9352286366060554, -127.94752043972937, -158.60966368302897, -110.62767458991053, -209.790815022366, -102.84505745400537, -98.23240266557605, -124.26303941012631, -133.1899679785766, -707.0274826688699, -150.538579039466, -133.62559920029284, -132.42863355021836, -100.40372653641771, -139.95209550469946, -150.22444541696615, -106.20505655486059, -160.44770746380084]"
27,-100,-165,10,67.04376697540283,1834.8532996177673,"[-163.90945393411025, -125.84918265663262, -141.46757325029145, -138.25596122207742, -135.6376884447069, -188.72194123449162, -108.72144090218816, -142.0462922090509, -120.34738435070702, -130.02316441266916, -100.65395526316692, -136.58492810625086, -118.34313650057925, -131.9148975231007, -827.8638273828931, -123.69672573048203, -131.78880137059582, -109.77817409548234, -112.50018143862545, -126.77197577674096]"
28,15,-152,4,77.34846329689026,1912.2017629146576,"[-141.6432664397106, -84.00247247751966, -140.78175677939916, -217.76503536659436, 15.745453578720813, -121.35888373609387, -43.37204329736832, -121.14133367863383, -485.83103168540293, -112.90048251792152, -151.36451576173434, -175.1665837566493, -182.17541019688042, -142.39231396321046, -148.58476537822068, -122.34180197842912, -177.42872045879352, -125.50102344168414, -191.86771410240937, -186.7025212319171]"
29,-78,-142,13,68.48443102836609,1980.6861939430237,"[-161.1746178365896, -118.74866421646254, -134.1135902731507, -167.90387963263825, -124.92588633994646, -115.18217945885146, -134.60241785197263, -155.71299154742007, -255.97981991041786, -132.67581381696456, -160.66637157977596, -138.66763319733607, -129.86131510480644, -78.96882142925153, -143.9583196996898, -126.42712734907423, -107.10687851031719, -144.35177459138575, -168.3402548799633, -156.13705522001578]"
30,-81,-243,12,78.17608046531677,2058.8622744083405,"[-113.8672236748188, -97.7838808307475, -148.48244323903887, -143.046705772245, -120.34747021765057, -93.54651406278069, -175.07223922881286, -119.94619641982237, -413.5133933176167, -90.72504719238083, -1661.6484931617401, -148.93007305998822, -81.2817862521702, -134.49744110505557, -562.5104527898574, -147.43948094972396, -200.42267199502567, -116.44292918457595, -124.03427524010186, -184.09381512054506]"
