ID,Date,Path,Description
1,2023-02-12,Training/SavedModels/0001,"Proof of concept. This description could include the hyperparameters used to train the model, specific details about how the selection, fit evaluation and crossover functions were implemented, etc."
2,2023-02-12,Training/Saved Models/0002,test
3,2023-02-13,Training/Saved Models/0003,test
4,2023-02-13,Training/Saved Models/0004,test
5,2023-02-13,Training/Saved Models/0005,test
6,2023-02-13,Training/Saved Models/0006,test
7,2023-02-13,Training/Saved Models/0007,test
8,2023-02-13,Training/Saved Models/0008,test
9,2023-02-13,Training/Saved Models/0009,test
10,2023-02-13,Training/Saved Models/0010,test
11,2023-02-13,Training/Saved Models/0011,test
12,2023-02-13,Training/Saved Models/0012,test
13,2023-02-13,Training/Saved Models/0013,test
14,2023-02-13,Training/Saved Models/0014,test
15,2023-02-13,Training/Saved Models/0015,test
16,2023-02-13,Training/Saved Models/0016,test
17,2023-02-13,Training/Saved Models/0017,test
18,2023-02-13,Training/Saved Models/0018,test
19,2023-02-13,Training/Saved Models/0019,test
20,2023-02-13,Training/Saved Models/0020,test
21,2023-02-13,Training/Saved Models/0021,test
22,2023-02-13,Training/Saved Models/0022,test
23,2023-02-13,Training/Saved Models/0023,test
24,2023-02-13,Training/Saved Models/0024,test
25,2023-02-13,Training/Saved Models/0025,test
26,2023-02-13,Training/Saved Models/0026,test
27,2023-02-13,Training/Saved Models/0027,test
28,2023-02-13,Training/Saved Models/0028,test
0029,2023-02-13,Training/Saved Models/0029,test
